11:20:09.518 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
11:20:19.157 [main] INFO  c.l.stockwatch.StockwatchServiceTest - Starting StockwatchServiceTest using Java 17.0.6 with PID 13864 (started by Likhith in C:\Users\Administrator\Desktop\stockwatch)
11:20:19.159 [main] DEBUG c.l.stockwatch.StockwatchServiceTest - Running with Spring Boot v3.1.5, Spring v6.0.13
11:20:19.161 [main] INFO  c.l.stockwatch.StockwatchServiceTest - No active profile set, falling back to 1 default profile: "default"
11:20:21.070 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
11:20:21.170 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 83 ms. Found 1 JPA repository interfaces.
11:20:22.042 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
11:20:22.158 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.13.Final
11:20:22.163 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
11:20:22.827 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
11:20:22.915 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
11:20:23.213 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:stockmarketdetails user=ROOT
11:20:23.214 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
11:20:24.465 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
11:20:24.541 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
11:20:25.576 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
11:20:27.900 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:stockmarketdetails'
11:20:28.444 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
11:20:28.564 [main] INFO  c.l.stockwatch.StockwatchServiceTest - Started StockwatchServiceTest in 10.088 seconds (process running for 12.429)
11:20:30.104 [main] INFO  c.l.s.service.StockWatchServiceImpl - Started executing method to get stock details for company London Stock Exchange
11:20:30.116 [main] INFO  c.l.s.service.StockWatchServiceImpl - End of method execution to get stock details for company London Stock Exchange
11:20:30.235 [main] INFO  c.l.s.service.StockWatchServiceImpl - Started executing method to save data to DB
11:20:30.236 [main] INFO  c.l.s.service.StockWatchServiceImpl - End of method execution save data to DB
11:20:30.286 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
11:20:30.293 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
11:20:30.303 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
11:23:09.227 [main] INFO  c.l.stockwatch.StockwatchServiceTest - Starting StockwatchServiceTest using Java 17.0.6 with PID 2420 (started by Likhith in C:\Users\Administrator\Desktop\stockwatch)
11:23:09.229 [main] DEBUG c.l.stockwatch.StockwatchServiceTest - Running with Spring Boot v3.1.5, Spring v6.0.13
11:23:09.230 [main] INFO  c.l.stockwatch.StockwatchServiceTest - No active profile set, falling back to 1 default profile: "default"
11:23:11.141 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
11:23:11.268 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 101 ms. Found 1 JPA repository interfaces.
11:23:12.211 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
11:23:12.332 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.13.Final
11:23:12.337 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
